,sd_values,mean_values,CV_values,Gene_Name,LeftEnd,Protein,Function,Description
b2448,0.8522064079999999,6.908975904,0.12334771800000001,yffQ,2563592,CPZ-55 prophage; uncharacterized protein,Phage or Prophage Related,"Function unknown, Eut/CPZ-55 prophage"
b2449,1.169381327,9.028592237,0.129519785,yffR,2563980,CPZ-55 prophage; uncharacterized protein,Phage or Prophage Related,"Function unknown, Eut/CPZ-55 prophage"
b2450,1.077500379,9.509856201,0.113303541,yffS,2564523,CPZ-55 prophage; uncharacterized protein,Phage or Prophage Related,"Function unknown, Eut/CPZ-55 prophage"
b2451,0.6927945870000001,7.855062009,0.08819721400000001,eutA,2565481,reactivating factor for ethanolamine ammonia lyase,Null,Reactivating factor for ethanolamine ammonia lyase EutBC
b2452,0.590830746,8.923712647999999,0.066209073,eutH,2566881,ethanolamine transporter,Putative transport; Degradation of small molecules: Amines,Ethanolamine transport
b2453,0.617307828,8.224914575,0.075053403,eutG,2568324,ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase,Putative enzyme; Degradation of small molecules: Amines,"Aldehyde reductase, converts acetaldehyde to ethanol; ethanol dehydrogenase"
b2454,0.579933509,8.479350452,0.068393624,eutJ,2569501,"ethanolamine utilization protein, HSP70/actin superfamily protein",Putative enzyme; Degradation of small molecules: Amines,Putative chaperonin
b2455,0.605913571,8.373157283,0.072363811,eutE,2570348,"aldehyde oxidoreductase, ethanolamine utilization protein",Putative enzyme; Degradation of small molecules: Amines,Aldehyde oxidoreductase
b2456,0.9992911859999999,8.147516584,0.12264978800000001,eutN,2571763,Ethanolamine catabolic microcompartment shell protein,Phenotype; Not classified,Ethanolamine catabolic microcompartment shell protein
b2457,0.6749932259999999,8.827241155,0.076467065,eutM,2572157,"ethanolamine utilization protein, putative carboxysome structural protein",Phenotype; Not classified,Ethanolamine catabolic microcompartment shell protein; forms a 2-dimensional protein membrane
b2458,0.679136093,8.856248082,0.076684403,eutD,2572489,phosphate acetyltransferase,Putative enzyme; Degradation of small molecules: Amines,Phosphate acetyltransferase
b2459,0.6683230920000001,8.364568132,0.07989929400000001,eutT,2573502,cobalamin adenosyltransferase involved in ethanolamine utilization,Null,Cobalamin adenosyltransferase
b2460,0.537406332,8.483138881,0.06334993900000001,eutQ,2574302,RmlC-like cupin domain protein,Putative enzyme; Not classified,"Cupin-like superfamily protein, function unknown"
b2461,0.683134885,7.786910452000001,0.087728617,eutP,2574978,putative P-loop NTPase ethanolamine utilization protein,Null,Probable P-loop NTPase ethanolamine utilization protein
b2462,0.531145374,7.792000297,0.068165472,eutS,2575470,putative ethanol utilization carboxysome structural protein ,Null,Ethanolamine catabolic microcompartment shell protein
b2463,1.547318587,9.39074095,0.16477066,maeB,2576098,malic enzyme: putative oxidoreductase/phosphotransacetylase,Putative enzyme; Not classified,"Malic enzyme, NADP-dependent; NADP-ME"
b2464,,,,talA,2578666,transaldolase A,"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway",Transaldolase A; creBC regulon
b2465,1.281369341,9.370216954,0.136749165,tktB,2579636,"transketolase 2, thiamine triphosphate-binding","Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway",Transketolase B; binds Zn(II)
b2466,0.627557033,8.931225868,0.070265498,ypfG,2581734,DUF1176 family protein,Null,DUF1176 family protein
b2467,0.452469922,9.42338811,0.048015630999999996,nudK,2582903,GDP-mannose pyrophosphatase,Null,GDP-mannose pyrophosphatase
b2468,0.642025084,9.24018863,0.069481816,aegA,2583546,"putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit",Putative enzyme; Not classified,"Predicted oxidoreductase, Fe-S subunit; induced by anaerobiosis, repressed by NO3; ygfT paralog"
b2469,0.517095497,8.074363297,0.06404164400000001,narQ,2585731,sensory histidine kinase in two-component regulatory system with NarP,"Enzyme; Energy metabolism, carbon: Anaerobic respiration",Nitrate/nitrite sensor-transmitter protein; anaerobic respiratory path; cognate regulator is NarP; function redundant with narX
b2470,0.526556493,8.755873799,0.060137515,acrD,2587595,aminoglycoside/multidrug efflux system,Putative transport; Drug/analog sensitivity,Aminoglycoside efflux pump; RND-type transporter
b2471,0.800285969,9.483002511,0.08439162300000001,yffB,2591247,putative ArsC family reductase,Null,"Predicted reductase, function unknown, ArsC family; low abundance protein"
b2472,0.398046395,9.466374014,0.042048454000000006,dapE,2591607,N-succinyl-diaminopimelate deacylase,Enzyme; Amino acid biosynthesis: Lysine,"N-succinyl-diaminopimelate desuccinylase, DAP/lysine biosynthesis, contains Zn(2+)/Co(2+)"
b2473,0.624895208,9.135264037,0.068404723,ypfH,2593072,"palmitoyl-CoA esterase activity, uncertain physiological substrate",Null,Palmitoyl-CoA esterase activity; physiological function unknown
b2474,0.60713372,8.441124647999999,0.071925691,tmcA,2593844,elongator methionine tRNA (ac4C34) acetyltransferase,Enzyme; tRNA modification,Elongator methionine tRNA (ac4C34) acetyltransferase; tRNA N(4)-acetylcytidine acetyltransferase
b2475,0.587856587,10.12948573,0.058034199,ypfJ,2595874,putative neutral zinc metallopeptidase,Putative enzyme; Not classified,Predicted neutral zinc metallopeptidase
b2476,1.058447486,10.25453779,0.103217474,purC,2596905,phosphoribosylaminoimidazole-succinocarboxamide synthetase,Enzyme; Purine ribonucleotide biosynthesis,Phosphoribosyl-aminoimidazole-succinocarboxamide synthase; SAICAR synthase; purine synthesis
b2477,0.8593695809999999,10.33173902,0.083177631,bamC,2597831,BamABCDE complex OM biogenesis lipoprotein,"Membrane; Macromolecule synthesis, modification: Lipoprotein",Tandem domain lipoprotein in BamABCDE OM biogenesis complex; mutant is rifampin-sensitive
b2478,0.8805726290000001,11.30039121,0.077924084,dapA,2598882,dihydrodipicolinate synthase,Enzyme; Amino acid biosynthesis: Lysine,Dihydrodipicolinate synthase
b2479,0.7349139729999999,10.14463411,0.072443616,gcvR,2599906,"transcriptional repressor, regulatory protein accessory to GcvA","Regulator; Central intermediary metabolism: Pool, multipurpose conversions",Required for repression of gcv operon by GcvA; GcvA-GcvR repressor complex disrupted by glycine binding to GcvR
b2480,0.7808811729999999,10.90706478,0.071594071,bcp,2600478,"peroxiredoxin; thiol peroxidase, thioredoxin-dependent",Phenotype; Not classified,"Peroxiredoxin, thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity; Prx"
b2481,0.7493860040000001,7.850025995,0.095462869,hyfA,2601201,"hydrogenase 4, 4Fe-4S subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration","Hydrogenase 4 component A, ferrodexin-like"
b2482,0.538949818,8.262846087,0.065225688,hyfB,2601818,"hydrogenase 4, membrane subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system
b2483,0.8317323240000001,7.296408712000001,0.113992014,hyfC,2603847,"hydrogenase 4, membrane subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Putative hydrogenase 4 component C; membrane protein of Hyf electron transfer complex of FHL system
b2484,1.138837141,8.668845017999999,0.131371266,hyfD,2604811,"hydrogenase 4, membrane subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Putative hydrogenase 4 component D; membrane protein of Hyf electron transfer complex of FHL system
b2485,0.49930416899999996,8.502260301,0.058726050999999994,hyfE,2606262,"hydrogenase 4, membrane subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Hydrogenase 4 component E; membrane protein of Hyf electron transfer complex of FHL system
b2486,0.522965321,8.559262142,0.061099346,hyfF,2606917,"hydrogenase 4, membrane subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Putative hydrogenase 4 component F; membrane protein of Hyf electron transfer complex of FHL system
b2487,0.519414233,8.496862219,0.061130123,hyfG,2608487,"hydrogenase 4, subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Putative hydrogenase 4 component G; membrane protein of Hyf electron transfer complex of FHL system
b2488,0.64435979,8.423818489,0.076492601,hyfH,2610164,"hydrogenase 4, Fe-S subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Hydrogenase 4 component H; membrane protein of Hyf electron transfer complex of FHL system
b2489,0.694632287,8.727974233,0.079586886,hyfI,2610706,"hydrogenase 4, Fe-S subunit","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Hydrogenase 4 component I; membrane protein of Hyf electron transfer complex of FHL system
b2490,1.098749592,9.203379744,0.11938544599999999,hyfJ,2611457,putative processing element hydrogenase 4,Putative factor; Not classified,Hydrogenase 4 component J; membrane protein of Hyf electron transfer complex of FHL system
b2491,0.58932144,8.428524297000001,0.069919884,hyfR,2611900,hydrogenase-4 transcriptional activator,Putative regulator; Not classified,Formate-sensing regulator for hyf operon
b2492,0.746675008,8.637181279,0.086448922,focB,2613934,putative formate transporter,"Putative transport; Transport of small molecules: Carbohydrates, organic acids, alcohols",Probable bidirectional formate transporter 2
b2493,0.556208595,9.469786543,0.058735072,yfgO,2614820,putative UPF0118 family inner membrane permease,Putative transport; Not classified,"Function unknown, predicted permease, UPF0118 family"
b2494,0.545714575,9.61593905,0.056751043,bepA,2616094,"OM protein maintenance and assembly metalloprotease and chaperone, periplasmic",Null,Periplasmic metalloprotease and chaperone; outer membrane protein maintenance and assembly
b2495,0.350816846,9.510920607000001,0.036885688,yfgD,2617578,putative oxidoreductase,Putative enzyme; Not classified,Function unknown
b2496,0.70490956,9.314032557,0.075682531,hda,2618075,ATPase regulatory factor involved in DnaA inactivation,Putative factor; Not classified,Required for regulatory inactivation of DnaA; multicopy suppressor of dnaN(ts)
b2497,0.965448392,9.016931918,0.107070609,uraA,2618871,uracil permease,"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines",Uracil permease; affects concentration dependence of pyr mutants
b2498,1.244105233,10.24808397,0.12139881300000001,upp,2620246,uracil phosphoribosyltransferase,Enzyme; Salvage of nucleosides and nucleotides,Uracil phosphoribosyltransferase
b2499,1.109550206,9.394097763,0.11811141800000001,purM,2621197,phosphoribosylaminoimidazole synthetase,Enzyme; Purine ribonucleotide biosynthesis,Phosphoribosyl-aminoimidazole (AIR) synthase; homodimeric
b2500,0.719701105,9.963163808,0.072236201,purN,2622234,phosphoribosylglycinamide formyltransferase 1,Enzyme; Purine ribonucleotide biosynthesis,"Glycinamide ribonucleotide transformylase (GART) 1, purine synthesis; glycinamide ribonucleotide formyltransferase"
b2501,0.7497241459999999,9.42081868,0.079581634,ppk,2623044,"polyphosphate kinase, component of RNA degradosome",Enzyme; Central intermediary metabolism: Phosphorus compounds,"Polyphosphate kinase, reversible"
b2502,0.823409232,9.279863799,0.088730745,ppx,2625115,exopolyphosphatase,Enzyme; Central intermediary metabolism: Phosphorus compounds,"Exopolyphosphatase; inhibited by pppGpp and ppGpp, also has guanosine pentaphosphatase activity"
b2503,0.781125515,7.456221014,0.104761583,yfgF,2626695,"cyclic-di-GMP phosphodiesterase, anaerobic",Enzyme; Not classified,"Cyclic-di-GMP phosphodiesterase, anaerobic; dual domain protein; defective cyclase domain; predicted membrane sensor protein"
b2504,0.854743383,9.532450597999999,0.08966669999999999,yfgG,2629290,uncharacterized protein,Null,Function unknown
b2505,0.677401492,7.640795881,0.08865588099999999,yfgH,2629792,outer membrane integrity lipoprotein,Putative membrane; Not classified,Outer membrane integrity lipoprotein
b2506,0.6354618329999999,8.442096114,0.075272992,yfgI,2630326,"nalidixic acid resistance protein, putative periplasmic protein",Null,"Nalidixic acid resistance protein, function unknown; predicted periplasmic location"
b2507,1.085844522,9.93053274,0.109344035,guaA,2630958,GMP synthetase (glutamine aminotransferase),Enzyme; Purine ribonucleotide biosynthesis,GMP synthase
b2508,1.0677191259999999,10.48932804,0.10179099400000001,guaB,2632604,IMP dehydrogenase,Enzyme; Purine ribonucleotide biosynthesis,Inosine-5'-monophosphate (IMP) dehydrogenase
b2509,0.700375573,9.469024776,0.073964911,xseA,2634232,"exonuclease VII, large subunit",Enzyme; Degradation of DNA,"Exonuclease VII, large subunit"
b2510,0.7661352370000001,8.158505621,0.09390632,yfgJ,2635599,DUF1407 family protein,Null,"Required for swarming phenotype, function unknown"
b2511,0.7415886979999999,9.815583315,0.075552178,der,2635884,GTPase; multicopy suppressor of ftsJ,Putative factor; Not classified,"Multicopy suppressor of ftsJ, GTPase, ribosome biogenesis; depleted cells form filaments with defective chromosome segregation; Der-YhiI complex"
b2512,0.672042412,10.58831592,0.06347018900000001,bamB,2637474,BamABCDE complex OM biogenesis lipoprotein,Null,Beta-propeller lipoprotein in OM biogenesis BamABCDE complex; WD40/PQQ repeats; mutant has pleiotropic envelope defects; required for swarming phenotype
b2513,0.6628314129999999,10.40766799,0.063686833,yfgM,2638663,ancillary SecYEG translocon subunit; putative anti-RcsB factor,Null,Ancillary SecYEG translocon subunit; putative anti-RcsB factor; membrane protein
b2514,0.614993636,10.81579426,0.0568607,hisS,2639301,histidyl tRNA synthetase,"Enzyme; Aminoacyl tRNA synthetases, tRNA modification",Histidine--tRNA ligase
b2515,0.530520212,10.53994284,0.050334259000000006,ispG,2640686,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Null,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; [4Fe-4S] protein
b2516,0.619285558,10.74019334,0.05766056,rodZ,2641831,MreB assembly cytoskeletal protein,Putative membrane; Not classified,Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein
b2517,0.558485919,9.987650749,0.055917645999999994,rlmN,2643129,"dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent",Enzyme; rRNA modification,"23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent; dual specificity"
b2518,1.5313007630000002,10.17689055,0.15046843199999999,ndk,2644433,multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase,Enzyme; Purine ribonucleotide biosynthesis,Nucleoside diphosphate kinase; NDP kinase
b2519,0.955197884,8.736405068,0.10933534800000001,pbpC,2645013,penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain protein,"Enzyme; Murein sacculus, peptidoglycan",Penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain
b2520,0.49969944899999996,9.522166005,0.052477498,yfhM,2647326,bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein,Null,Bacterial alpha2-macroglobulin colonization factor ECAM; anti-host proteinase defense factor; periplasmic inner membrane-anchored lipoprotein
b2521,0.6786587159999999,10.43705912,0.065023941,sseA,2652494,3-mercaptopyruvate sulfurtransferase,Putative enzyme; Not classified,3-mercaptopyruvate sulfurtransferase; enhances serine sensitivity (inhibits homoserine deHase) on lactate; rhodanese-like protein
b2522,0.603227242,9.747524091,0.06188517599999999,sseB,2654157,"rhodanase-like enzyme, sulfur transfer from thiosulfate",Phenotype; Not classified,Enhances serine sensitivity (inhibits homoserine deHase) on lactate; weaker than sseA
b2523,0.58090597,10.39760259,0.055869222,pepB,2655075,aminopeptidase B,Putative enzyme; Not classified,Peptidase B; broad specificity aminopeptidase
b2524,0.7696417959999999,11.03341539,0.069755535,iscX,2656536,Fe(2+) donor and activity modulator for cysteine desulfurase,Null,Fe(2+) donor and activity modulator for cysteine desulfurase
b2525,1.021290526,10.49461562,0.09731566800000001,fdx,2656748,[2Fe-2S] ferredoxin,"Carrier; Energy metabolism, carbon: Electron transport","Ferredoxin, an iron-sulfur protein; involved in assembly of other Fe-S clusters"
b2526,1.4388386069999999,9.824179105,0.146458914,hscA,2657085,DnaK-like molecular chaperone specific for IscU,Factor; Chaperones,"DnaK-like chaperone Hsc66, IscU-specific chaperone HscAB; involved in FtsZ-ring formation"
b2527,0.94192893,9.86856905,0.09544736699999999,hscB,2658952,"HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB",Factor; Chaperones,"HscA co-chaperone, J domain-containing protein Hsc56; IscU-specific chaperone HscAB"
b2528,0.6629281570000001,11.85012565,0.055942711,iscA,2659563,FeS cluster assembly protein,Putative regulator; Not classified,Recruit and deliver Fe for Fe-S cluster assembly in IscU; possibly an alternative scaffold for Fe-S cluster assembly
b2529,0.901677086,11.33136978,0.079573529,iscU,2659903,iron-sulfur cluster assembly scaffold protein,Null,Iron-sulfur cluster assembly scaffold protein
b2530,0.9697683090000001,11.23745971,0.08629782300000001,iscS,2660317,"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent",Enzyme; tRNA modification,"Cysteine desulfurase, PLP-dependent; used in synthesis of Fe-S clusters and 4-thiouridine; ThiI transpersulfidase; TusA transpersulfidase; YnjE transpersulfidase; MoaD transpersulfidase; pyridoxal phosphate cofactor linked to Lys206"
b2531,0.92949174,11.0283928,0.084281704,iscR,2661643,isc operon transcriptional repressor; suf operon transcriptional activator; oxidative stress- and iron starvation-inducible; autorepressor,Regulation of Fe-S cluster assembly genes,isc operon transcriptional repressor; suf operon transcriptional activator; icsR regulon regulator; oxidative stress- and iron starvation-inducible; autorepressor; contains Fe-S cluster
b2532,0.662352967,10.57402423,0.06263963,trmJ,2662583,"tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent",Enzyme; tRNA modification,"tRNA mC32,mU32 2'-O-methyltransferase, SAM-dependent; low abundance protein"
b2533,0.610402325,9.283344397,0.065752416,suhB,2663442,inositol monophosphatase,Phenotype; Global regulatory functions,"Inositol-1-monophosphatase; mutation suppresses TS growth phenotype of rpoH15, dnaB121, and secY24; suhB mutations confers CS growth"
b2534,0.687788367,8.157913498,0.084309348,yfhR,2664390,putative S9 family prolyl oligopeptidase,Putative enzyme; Not classified,Predicted prolyl oligopeptidase
b2535,1.240272377,9.232834708,0.13433278199999998,csiE,2665435,stationary phase inducible protein,Null,Stationary phase inducible protein; sigma S-dependent promoter
b2536,0.607902533,8.699216311,0.069880149,hcaT,2666707,putative 3-phenylpropionic transporter,Transport; Degradation of small molecules: Carbon compounds,"Probable 3-phenylpropionic acid/cinnamic acid transporter; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2537,0.6592779520000001,9.136273854,0.072160485,hcaR,2668006,hca operon transcriptional regulator,Regulator; Degradation of small molecules: Carbon compounds,Transcriptional activator for the hca operon; inducd by 3-phenylpropionate and cinnamic acid; autoregulatory
b2538,0.497396801,8.735451941,0.056940019,hcaE,2669032,"3-phenylpropionate dioxygenase, large (alpha) subunit",Enzyme; Degradation of small molecules: Carbon compounds,"3-Phenylpropionate/cinnamic acid dioxygenase, alpha subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2539,0.552417238,9.028646142000001,0.061184947,hcaF,2670390,"3-phenylpropionate dioxygenase, small (beta) subunit",Enzyme; Degradation of small molecules: Carbon compounds,"3-Phenylpropionate/cinnamic acid dioxygenase, beta subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2540,0.629661436,9.092717205,0.069248985,hcaC,2670908,"3-phenylpropionate dioxygenase, ferredoxin subunit",Enzyme; Degradation of small molecules: Carbon compounds,"3-Phenylpropionate/cinnamic acid dioxygenase, ferredoxin subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2541,0.65876256,8.163224174,0.08069882,hcaB,2671225,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",Enzyme; Degradation of small molecules: Carbon compounds,"3-Phenylpropionate-dihydrodiol dehydrogenase; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2542,0.5162728839999999,9.077982059,0.056870885999999995,hcaD,2672047,"phenylpropionate dioxygenase, ferredoxin reductase subunit",Enzyme; Degradation of small molecules: Carbon compounds,"3-Phenylpropionate/cinnamic acid dioxygenase, ferredoxin reductase subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway"
b2543,0.740789715,8.279735712,0.089470213,yphA,2673346,DoxX family inner membrane protein,Null,"DoxX family inner membrane protein, function unknown; membrane oxidoreductase subunit homolog"
b2544,0.435016174,8.708972589,0.049950344,yphB,2673816,"mutarotase superfamily protein, YphB family",Null,"Mutarotase superfamily protein, YphB family, function unknown"
b2545,1.537963679,7.565240977,0.203293416,yphC,2674700,putative Zn-dependent NAD(P)-binding oxidoreductase,Putative enzyme; Not classified,"Function unknown, alcohol dehydrogenase homolog"
b2546,0.5988967239999999,8.561001416,0.069956386,yphD,2675827,putative sugar ABC transporter permease,Putative transport; Not classified,Putative sugar ABC transporter permease
b2547,0.760571285,8.373664854,0.090828962,yphE,2676850,putative sugar ABC transporter ATPase,Putative transport; Not classified,Putative sugar ABC transporter ATPase
b2548,0.695480513,8.39432189,0.082851304,yphF,2678384,putative sugar ABC transporter periplasmic binding protein,Putative regulator; Not classified,Putative sugar ABC transporter periplasmic binding protein
b2549,0.674011479,8.351534533999999,0.080705106,yphG,2679464,DUF4380 domain-containing TPR repeat protein,Null,DUF4380 domain-containing TPR repeat protein; function unknown
b2550,0.491124599,8.267738854,0.059402529,yphH,2682863,putative DNA-binding transcriptional regulator,Putative regulator; Not classified,Function unknown
b2551,1.256661904,10.38109262,0.12105295199999999,glyA,2684254,serine hydroxymethyltransferase,Enzyme; Amino acid biosynthesis: Glycine,Serine hydroxymethyltransferase; binds Zn(II)
b2552,0.606013911,8.878286119,0.06825798400000001,hmp,2685835,fused nitric oxide dioxygenase/dihydropteridine reductase 2,"Enzyme; Energy metabolism, carbon: Electron transport","Flavohemoglobin; nitric oxide dioxygenase; dihydropteridine reductase; GSNO and nitrite reductase; has alkylhydroperoxide reductase activity, possibly involved in the repair of lipid membrane oxidative damage"
b2553,0.7534870690000001,9.215668096,0.081761524,glnB,2687070,regulatory protein P-II for glutamine synthetase,Regulator; Amino acid biosynthesis: Glutamine,PII regulatory protein for glutamine synthase; potent activator of NRII/GlnL/NtrB phosphatase and inhibitor of NRII autophosphorylation; activates adenylation of GlnA by GlnE
b2554,0.6884465879999999,9.472007356,0.072682227,glrR,2687469,response regulator regulating glmY sRNA in two-component system with sensor protein GlrK,Putative regulator; Not classified,Response regulator regulating glmY sRNA; cognate histidine sensor kinase is GlrK(QseE)
b2555,0.44588597399999996,9.917684425,0.044958677,yfhG,2688793,putative outer membrane protein modulating the QseEF response,Phenotype; Not classified,Predicted OM protein possibly affecting the QseEF response
b2556,0.9601748440000001,8.597323575,0.111682995,glrK,2689671,sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR,Putative regulator; Not classified,Sensor protein kinase regulating glmY sRNA; cognate response regulator is GlrR(QseF)
b2557,1.2599409259999999,9.360614215,0.134600241,purL,2691656,phosphoribosylformyl-glycineamide synthetase,Enzyme; Purine ribonucleotide biosynthesis,Phosphoribosylformylglycinamide synthase; contains a synthase domain (N) and a glutamine amidotransferase domain (C)
b2558,0.623496615,7.980594128,0.078126591,mltF,2695801,"membrane-bound lytic transglycosylase F, murein hydrolase",Enzyme; Transporter; Not classified,"Membrane-bound lytic transglycosylase F, murein hydrolase"
b2559,0.500200109,9.28710358,0.053859646,tadA,2697354,tRNA-specific adenosine deaminase,Enzyme; tRNA modification,A34-tRNA adenosine deaminase; point mutation confers resistance to HokC(Gef)-mediated cell killing; essential gene; homodimeric
b2560,0.619541633,9.336599945,0.066356236,pgpC,2697915,"phosphatidylglycerophosphatase C, membrane bound","Enzyme; Macromolecule synthesis, modification: Phospholipids","Phosphatidylglycerophosphatase C, membrane bound"
b2561,0.429558964,8.947001497999999,0.0480115,yfhH,2698759,putative DNA-binding transcriptional regulator,Null,Function unknown
b2562,0.740979506,8.781710452,0.084377583,yfhL,2699663,putative 4Fe-4S cluster-containing protein,Null,Function unknown
b2563,0.929226257,9.340590475,0.099482603,acpS,2700618,holo-[acyl-carrier-protein] synthase 1,Enzyme; Fatty acid and phosphatidic acid biosynthesis,ACP-CoA phosphopantetheinyltransferase; Holo-ACP synthase; 4'-phosphopantetheinyl transferase
b2564,0.514872287,10.05308175,0.051215369000000004,pdxJ,2700998,pyridoxine 5'-phosphate synthase,"Enzyme; Biosynthesis of cofactors, carriers: Pyridoxine",Pyridoxine 5'-phosphate (PNP) synthase; homo-octamer
b2565,0.530125666,9.247401392999999,0.057326987999999995,recO,2701741,gap repair protein,"Regulator; DNA - replication, repair, restriction/modification",Conjugational recombination and repair; DNA-binding protein; RecA-like strand assimilation
b2566,0.712624258,9.287978384,0.076725443,era,2702481,"membrane-associated, 16S rRNA-binding GTPase",Factor; Global regulatory functions,"Ribosome-associated GTPase essential for growth; also required for a normal adaptation response to thermal stress; GTP-dependent autophosphorylating protein kinase activity; membrane-associated, 16S rRNA-binding protein; cell cycle arrest"
b2567,0.663955169,10.23686993,0.06485919799999999,rnc,2703383,RNase III,Enzyme; Degradation of RNA,RNase III; cleaves double-stranded RNA
b2568,0.40419668700000005,10.23865258,0.039477527000000005,lepB,2704335,leader peptidase (signal peptidase I),"Enzyme; Protein, peptide secretion","Signal peptidase I; SPI; responsible for type I signal cleavages of periplasmic, OM, some IM, and extracellular proteins"
b2569,0.829100224,9.868718365,0.08401295800000001,lepA,2705325,"back-translocating elongation factor EF4, GTPase",Factor; Proteins - translation and modification,"Back-translocating Elongation Factor EF4, GTPase; required for efficient and accurate protein synthesis"
b2570,0.575577252,9.63705489,0.05972543,rseC,2707322,SoxR iron-sulfur cluster reduction factor component,Regulator; Global regulatory functions,SoxR iron-sulfur cluster reduction factor component; with RsxABCDEG; probable ThiC reduction factor
b2571,0.910193901,9.723668008999999,0.09360602400000001,rseB,2707798,"anti-sigma E factor, binds RseA",Regulator; Global regulatory functions,Binds the periplasmic domain of anti-RpoE sigma factor RseA; enhances RpoE-RseA cytoplasmic complex formation
b2572,0.764650417,11.84188614,0.06457167400000001,rseA,2708754,anti-sigma factor,Regulator; Global regulatory functions,"Anti-RpoE sigma factor, spans inner membrane"
b2573,0.80823139,10.95480318,0.073778723,rpoE,2709437,RNA polymerase sigma E factor,Regulator; Global regulatory functions,"RNA polymerase sigma E factor; role in extracytoplasmic, high temperature and oxidative stress responses; sigma 24 initiation factor"
b2574,0.890669917,8.743580954,0.101865577,nadB,2710420,"quinolinate synthase, L-aspartate oxidase (B protein) subunit","Enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide","L-aspartate oxidase, FAD-dependent; quinolinate synthase flavoprotein subunit, B protein; LASPO"
b2575,0.633286895,8.797466479,0.071985144,trmN,2712027,tRNA1(Val) (adenine(37)-N6)-methyltransferase,Enzyme; tRNA modification,"tRNA1(Val) (adenine(37)-N6)-methyltransferase; tRNA m(6)A37 methyltransferase, SAM-dependent"
b2576,0.808138609,9.760171224,0.082799634,srmB,2712896,ATP-dependent RNA helicase,"Enzyme; RNA synthesis, modification, DNA transcription","ATP-dependent RNA helicase, 50S ribosomal subunit biogenesis; suppresses 50S ribosome assembly defect of rplX(ts); required for effiicient ribosomal 50S subunit assembly; stabilizes exposed mRNA, possibly by protecting or destabilizing secondary structure"
b2577,0.39239184,8.609196027000001,0.045578220999999995,yfiE,2714439,putative DNA-binding transcriptional regulator,Putative regulator; Not classified,"LysR-family transcriptional regulator, function unknown"
b2578,0.68813766,8.84232847,0.07782312799999999,eamB,2715423,cysteine and O-acetylserine exporter,Null,"Cysteine and O-acetylserine exporter, inner membrane protein"
b2579,1.441528585,10.69425892,0.134794622,grcA,2716066,autonomous glycyl radical cofactor,"Putative enzyme; Energy metabolism, carbon: Anaerobic respiration","Autonomous glycine radical cofactor; can reactivate pyruvate formate lyase after oxidative stress; induced by low pH or propionate; pyruvate formate lyase homolog, spare part for PFL"
